year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_total_bes
1998,NUTS,2010,AT,0,2913.0
2002,NUTS,2010,AT,0,3837.0
2004,NUTS,2010,AT,0,4582.0
2006,NUTS,2010,AT,0,5374.0
2007,NUTS,2010,AT,0,5853.0
2009,NUTS,2010,AT,0,6333.0
2011,NUTS,2010,AT,0,6866.0
2013,NUTS,2010,AT,0,7322.0
2015,NUTS,2010,AT,0,7933.0
2017,NUTS,2010,AT,0,8226.0
2019,NUTS,2010,AT,0,9199.0
2012,NUTS,2010,BA,0,158.0
2013,NUTS,2010,BA,0,161.0
2014,NUTS,2010,BA,0,112.0
2019,NUTS,2010,BA,0,208.0
1999,NUTS,2010,BE,0,6174.0
2000,NUTS,2010,BE,0,6579.0
2001,NUTS,2010,BE,0,7050.0
2002,NUTS,2010,BE,0,6984.0
2003,NUTS,2010,BE,0,7043.0
2004,NUTS,2010,BE,0,7212.0
2005,NUTS,2010,BE,0,7654.0
2006,NUTS,2010,BE,0,7837.0
2007,NUTS,2010,BE,0,8127.0
2008,NUTS,2010,BE,0,8199.0
2009,NUTS,2010,BE,0,8271.0
2010,NUTS,2010,BE,0,8390.0
2011,NUTS,2010,BE,0,8923.0
2000,NUTS,2010,BE1,1,631.0
2001,NUTS,2010,BE1,1,660.0
2002,NUTS,2010,BE1,1,632.0
2000,NUTS,2010,BE10,2,631.0
2001,NUTS,2010,BE10,2,660.0
2002,NUTS,2010,BE10,2,632.0
2000,NUTS,2010,BE2,1,4012.0
2001,NUTS,2010,BE2,1,4317.0
2002,NUTS,2010,BE2,1,4599.0
2000,NUTS,2010,BE3,1,1936.0
2001,NUTS,2010,BE3,1,2073.0
2002,NUTS,2010,BE3,1,2077.0
1993,NUTS,2010,BG,0,5034.0
1994,NUTS,2010,BG,0,2179.0
1995,NUTS,2010,BG,0,2126.0
1996,NUTS,2010,BG,0,1932.0
1997,NUTS,2010,BG,0,1743.0
1998,NUTS,2010,BG,0,1748.0
1999,NUTS,2010,BG,0,1309.0
2000,NUTS,2010,BG,0,1166.0
2001,NUTS,2010,BG,0,1011.0
2002,NUTS,2010,BG,0,923.0
2003,NUTS,2010,BG,0,1089.0
2004,NUTS,2010,BG,0,1033.0
2005,NUTS,2010,BG,0,1051.0
2006,NUTS,2010,BG,0,974.0
2007,NUTS,2010,BG,0,982.0
2008,NUTS,2010,BG,0,1209.0
2009,NUTS,2010,BG,0,1495.0
2010,NUTS,2010,BG,0,1232.0
2011,NUTS,2010,BG,0,1142.0
2012,NUTS,2010,BG,0,1348.0
2013,NUTS,2010,BG,0,1692.0
2014,NUTS,2010,BG,0,2153.0
2015,NUTS,2010,BG,0,3665.0
2016,NUTS,2010,BG,0,4290.0
2017,NUTS,2010,BG,0,4225.0
2018,NUTS,2010,BG,0,4882.0
2019,NUTS,2010,BG,0,5220.0
1998,NUTS,2010,CY,0,27.0
1999,NUTS,2010,CY,0,43.0
2000,NUTS,2010,CY,0,47.0
2001,NUTS,2010,CY,0,49.0
2002,NUTS,2010,CY,0,63.0
2003,NUTS,2010,CY,0,73.0
2004,NUTS,2010,CY,0,75.0
2005,NUTS,2010,CY,0,82.0
2006,NUTS,2010,CY,0,94.0
2007,NUTS,2010,CY,0,87.0
2008,NUTS,2010,CY,0,104.0
2009,NUTS,2010,CY,0,102.0
2010,NUTS,2010,CY,0,93.0
2011,NUTS,2010,CY,0,91.0
2012,NUTS,2010,CY,0,88.0
2013,NUTS,2010,CY,0,92.0
2014,NUTS,2010,CY,0,96.0
2015,NUTS,2010,CY,0,91.0
2016,NUTS,2010,CY,0,121.0
2017,NUTS,2010,CY,0,137.0
2018,NUTS,2010,CY,0,196.0
2019,NUTS,2010,CY,0,219.0
2000,NUTS,2010,CZ,0,2804.0
2001,NUTS,2010,CZ,0,2965.0
2002,NUTS,2010,CZ,0,2978.0
2003,NUTS,2010,CZ,0,3010.0
2004,NUTS,2010,CZ,0,3124.0
2005,NUTS,2010,CZ,0,4477.0
2006,NUTS,2010,CZ,0,4609.0
2007,NUTS,2010,CZ,0,5067.0
2008,NUTS,2010,CZ,0,5015.0
2009,NUTS,2010,CZ,0,4960.0
2010,NUTS,2010,CZ,0,4995.0
2011,NUTS,2010,CZ,0,5442.0
2012,NUTS,2010,CZ,0,5908.0
2013,NUTS,2010,CZ,0,6222.0
2014,NUTS,2010,CZ,0,6468.0
2015,NUTS,2010,CZ,0,6345.0
2016,NUTS,2010,CZ,0,6383.0
2017,NUTS,2010,CZ,0,6768.0
2018,NUTS,2010,CZ,0,7154.0
2019,NUTS,2010,CZ,0,7631.0
2020,NUTS,2010,CZ,0,8063.0
1997,NUTS,2010,DE,0,47800.0
1999,NUTS,2010,DE,0,53671.0
2001,NUTS,2010,DE,0,58337.0
2003,NUTS,2010,DE,0,55145.0
2005,NUTS,2010,DE,0,55796.0
2007,NUTS,2010,DE,0,57758.0
2009,NUTS,2010,DE,0,62067.0
2011,NUTS,2010,DE,0,68896.0
2013,NUTS,2010,DE,0,67931.0
2015,NUTS,2010,DE,0,75372.0
2017,NUTS,2010,DE,0,81148.0
2019,NUTS,2010,DE,0,88177.0
1998,NUTS,2010,DK,0,5313.0
1999,NUTS,2010,DK,0,5804.0
2001,NUTS,2010,DK,0,8089.0
2002,NUTS,2010,DK,0,9349.0
2003,NUTS,2010,DK,0,8947.0
2005,NUTS,2010,DK,0,9124.0
2007,NUTS,2010,DK,0,9042.0
2009,NUTS,2010,DK,0,10698.0
2010,NUTS,2010,DK,0,10651.0
2011,NUTS,2010,DK,0,10604.0
2012,NUTS,2010,DK,0,10527.0
2013,NUTS,2010,DK,0,10451.0
2015,NUTS,2010,DK,0,10436.0
2017,NUTS,2010,DK,0,12020.0
2019,NUTS,2010,DK,0,11894.0
1998,NUTS,2010,DK0,1,5313.0
1999,NUTS,2010,DK0,1,5804.0
2001,NUTS,2010,DK0,1,8089.0
2002,NUTS,2010,DK0,1,9348.0
2003,NUTS,2010,DK0,1,9779.0
1998,NUTS,2010,EE,0,158.0
1999,NUTS,2010,EE,0,283.0
2000,NUTS,2010,EE,0,167.0
2001,NUTS,2010,EE,0,210.0
2002,NUTS,2010,EE,0,212.0
2003,NUTS,2010,EE,0,245.0
2004,NUTS,2010,EE,0,317.0
2005,NUTS,2010,EE,0,444.0
2006,NUTS,2010,EE,0,474.0
2007,NUTS,2010,EE,0,535.0
2008,NUTS,2010,EE,0,528.0
2009,NUTS,2010,EE,0,593.0
2010,NUTS,2010,EE,0,609.0
2011,NUTS,2010,EE,0,668.0
2012,NUTS,2010,EE,0,605.0
2013,NUTS,2010,EE,0,636.0
2014,NUTS,2010,EE,0,575.0
2015,NUTS,2010,EE,0,532.0
2016,NUTS,2010,EE,0,550.0
2017,NUTS,2010,EE,0,610.0
2018,NUTS,2010,EE,0,639.0
2019,NUTS,2010,EE,0,765.0
1999,NUTS,2010,EL,0,1272.0
2001,NUTS,2010,EL,0,2661.0
2003,NUTS,2010,EL,0,2225.0
2005,NUTS,2010,EL,0,2733.0
2007,NUTS,2010,EL,0,2883.0
2011,NUTS,2010,EL,0,2130.0
2013,NUTS,2010,EL,0,2049.0
2015,NUTS,2010,EL,0,2534.0
2017,NUTS,2010,EL,0,4039.0
2019,NUTS,2010,EL,0,4583.0
1997,NUTS,2010,ES,0,6047.0
1999,NUTS,2010,ES,0,8609.0
2001,NUTS,2010,ES,0,9129.0
2002,NUTS,2010,ES,0,15716.0
2003,NUTS,2010,ES,0,17793.0
2004,NUTS,2010,ES,0,20194.0
2005,NUTS,2010,ES,0,21351.0
2006,NUTS,2010,ES,0,24193.0
2007,NUTS,2010,ES,0,26451.0
2008,NUTS,2010,ES,0,28652.0
2009,NUTS,2010,ES,0,28852.0
2010,NUTS,2010,ES,0,28283.0
2011,NUTS,2010,ES,0,27645.0
2012,NUTS,2010,ES,0,27381.0
2013,NUTS,2010,ES,0,27767.0
2014,NUTS,2010,ES,0,26993.0
2015,NUTS,2010,ES,0,27437.0
2016,NUTS,2010,ES,0,27889.0
2017,NUTS,2010,ES,0,29916.0
2018,NUTS,2010,ES,0,32983.0
2019,NUTS,2010,ES,0,33923.0
2006,NUTS,2010,FR,0,53881.0
2007,NUTS,2010,FR,0,51232.0
2008,NUTS,2010,FR,0,52125.0
2009,NUTS,2010,FR,0,53073.0
2010,NUTS,2010,FR,0,54674.0
2011,NUTS,2010,FR,0,55272.0
2012,NUTS,2010,FR,0,57496.0
2013,NUTS,2010,FR,0,58989.0
2014,NUTS,2010,FR,0,58989.0
2016,NUTS,2010,FR,0,60641.0
2017,NUTS,2010,FR,0,63089.0
2002,NUTS,2010,HR,0,1111.0
2003,NUTS,2010,HR,0,1037.0
2004,NUTS,2010,HR,0,1318.0
2005,NUTS,2010,HR,0,872.0
2006,NUTS,2010,HR,0,939.0
2007,NUTS,2010,HR,0,1063.0
2008,NUTS,2010,HR,0,1215.0
2009,NUTS,2010,HR,0,1217.0
2010,NUTS,2010,HR,0,1114.0
2011,NUTS,2010,HR,0,1062.0
2012,NUTS,2010,HR,0,1045.0
2013,NUTS,2010,HR,0,992.0
2014,NUTS,2010,HR,0,1012.0
2015,NUTS,2010,HR,0,1091.0
2016,NUTS,2010,HR,0,1240.0
2017,NUTS,2010,HR,0,1330.0
2018,NUTS,2010,HR,0,1650.0
2019,NUTS,2010,HR,0,1803.0
2020,NUTS,2010,HR,0,2007.0
2002,NUTS,2010,HR0,1,1111.0
2003,NUTS,2010,HR0,1,1037.0
2006,NUTS,2010,HU,0,3037.0
2007,NUTS,2010,HU,0,3297.0
2008,NUTS,2010,HU,0,3471.0
2009,NUTS,2010,HU,0,3801.0
2010,NUTS,2010,HU,0,4292.0
2011,NUTS,2010,HU,0,4539.0
2012,NUTS,2010,HU,0,5213.0
2013,NUTS,2010,HU,0,5622.0
2014,NUTS,2010,HU,0,5641.0
2015,NUTS,2010,HU,0,5445.0
2016,NUTS,2010,HU,0,5157.0
2017,NUTS,2010,HU,0,6001.0
2018,NUTS,2010,HU,0,7292.0
2019,NUTS,2010,HU,0,7549.0
1999,NUTS,2010,IE,0,1948.0
2001,NUTS,2010,IE,0,2133.0
2002,NUTS,2010,IE,0,2020.0
2003,NUTS,2010,IE,0,2070.0
2004,NUTS,2010,IE,0,2180.0
2005,NUTS,2010,IE,0,2312.0
2006,NUTS,2010,IE,0,2527.0
2007,NUTS,2010,IE,0,2741.0
2008,NUTS,2010,IE,0,2941.0
2009,NUTS,2010,IE,0,3265.0
2010,NUTS,2010,IE,0,3329.0
2011,NUTS,2010,IE,0,3352.0
2013,NUTS,2010,IE,0,3964.0
2015,NUTS,2010,IE,0,4548.0
2017,NUTS,2010,IE,0,5090.0
2019,NUTS,2010,IE,0,5387.0
1999,NUTS,2010,IE0,1,1948.0
2001,NUTS,2010,IE0,1,2132.0
2002,NUTS,2010,IE0,1,2020.0
2003,NUTS,2010,IE0,1,2070.0
1999,NUTS,2010,IS,0,274.0
2001,NUTS,2010,IS,0,504.0
2003,NUTS,2010,IS,0,460.0
2005,NUTS,2010,IS,0,517.0
2006,NUTS,2010,IS,0,522.0
2007,NUTS,2010,IS,0,432.0
2008,NUTS,2010,IS,0,451.0
2009,NUTS,2010,IS,0,448.0
2011,NUTS,2010,IS,0,388.0
1998,NUTS,2010,IT,0,9818.0
2003,NUTS,2010,IT,0,12285.0
2004,NUTS,2010,IT,0,12493.0
2005,NUTS,2010,IT,0,13915.0
2006,NUTS,2010,IT,0,15215.0
2007,NUTS,2010,IT,0,18684.0
2008,NUTS,2010,IT,0,20398.0
2009,NUTS,2010,IT,0,22093.0
2010,NUTS,2010,IT,0,23257.0
2011,NUTS,2010,IT,0,22993.0
2012,NUTS,2010,IT,0,25306.0
2013,NUTS,2010,IT,0,26300.0
2014,NUTS,2010,IT,0,27532.0
2015,NUTS,2010,IT,0,29247.0
2016,NUTS,2010,IT,0,34583.0
2017,NUTS,2010,IT,0,40458.0
2018,NUTS,2010,IT,0,47306.0
2019,NUTS,2010,IT,0,50035.0
1995,NUTS,2010,JP,0,71410.0
1996,NUTS,2010,JP,0,73760.0
1997,NUTS,2010,JP,0,71132.0
1998,NUTS,2010,JP,0,68348.0
1999,NUTS,2010,JP,0,68372.0
2000,NUTS,2010,JP,0,64350.0
1998,NUTS,2010,KR,0,7533.0
2000,NUTS,2010,LT,0,233.0
2001,NUTS,2010,LT,0,344.0
2002,NUTS,2010,LT,0,194.0
2003,NUTS,2010,LT,0,311.0
2004,NUTS,2010,LT,0,427.0
2005,NUTS,2010,LT,0,472.0
2006,NUTS,2010,LT,0,490.0
2007,NUTS,2010,LT,0,799.0
2008,NUTS,2010,LT,0,734.0
2009,NUTS,2010,LT,0,601.0
2010,NUTS,2010,LT,0,671.0
2011,NUTS,2010,LT,0,738.0
2012,NUTS,2010,LT,0,615.0
2013,NUTS,2010,LT,0,845.0
2014,NUTS,2010,LT,0,1010.0
2015,NUTS,2010,LT,0,895.0
2016,NUTS,2010,LT,0,944.0
2017,NUTS,2010,LT,0,1163.0
2018,NUTS,2010,LT,0,1255.0
2019,NUTS,2010,LT,0,1556.0
2005,NUTS,2010,LU,0,646.0
2007,NUTS,2010,LU,0,633.0
2009,NUTS,2010,LU,0,775.0
2011,NUTS,2010,LU,0,539.0
2013,NUTS,2010,LU,0,352.0
2015,NUTS,2010,LU,0,391.0
2017,NUTS,2010,LU,0,490.0
2019,NUTS,2010,LU,0,468.0
1995,NUTS,2010,LV,0,336.0
1996,NUTS,2010,LV,0,240.0
1997,NUTS,2010,LV,0,202.0
1998,NUTS,2010,LV,0,173.0
1999,NUTS,2010,LV,0,180.0
2000,NUTS,2010,LV,0,532.0
2001,NUTS,2010,LV,0,808.0
2002,NUTS,2010,LV,0,684.0
2003,NUTS,2010,LV,0,450.0
2004,NUTS,2010,LV,0,462.0
2005,NUTS,2010,LV,0,534.0
2006,NUTS,2010,LV,0,717.0
2007,NUTS,2010,LV,0,555.0
2008,NUTS,2010,LV,0,706.0
2009,NUTS,2010,LV,0,502.0
2010,NUTS,2010,LV,0,463.0
2011,NUTS,2010,LV,0,442.0
2012,NUTS,2010,LV,0,421.0
2013,NUTS,2010,LV,0,430.0
2015,NUTS,2010,LV,0,476.0
2016,NUTS,2010,LV,0,364.0
2017,NUTS,2010,LV,0,409.0
2018,NUTS,2010,LV,0,492.0
2019,NUTS,2010,LV,0,455.0
2011,NUTS,2010,ME,0,45.0
2013,NUTS,2010,ME,0,52.0
2014,NUTS,2010,ME,0,45.0
2015,NUTS,2010,ME,0,32.0
2017,NUTS,2010,ME,0,24.0
2018,NUTS,2010,ME,0,45.0
2019,NUTS,2010,ME,0,47.0
2005,NUTS,2010,MK,0,81.0
2006,NUTS,2010,MK,0,47.0
2007,NUTS,2010,MK,0,50.0
2008,NUTS,2010,MK,0,58.0
2009,NUTS,2010,MK,0,71.0
2010,NUTS,2010,MK,0,84.0
2011,NUTS,2010,MK,0,113.0
2012,NUTS,2010,MK,0,109.0
2015,NUTS,2010,MK,0,228.0
2016,NUTS,2010,MK,0,263.0
2017,NUTS,2010,MK,0,269.0
2018,NUTS,2010,MK,0,299.0
2019,NUTS,2010,MK,0,328.0
1999,NUTS,2010,MT,0,10.0
2000,NUTS,2010,MT,0,10.0
2004,NUTS,2010,MT,0,68.0
2005,NUTS,2010,MT,0,92.0
2006,NUTS,2010,MT,0,99.0
2007,NUTS,2010,MT,0,96.0
2008,NUTS,2010,MT,0,106.0
2009,NUTS,2010,MT,0,111.0
2010,NUTS,2010,MT,0,139.0
2011,NUTS,2010,MT,0,192.0
2012,NUTS,2010,MT,0,229.0
2013,NUTS,2010,MT,0,195.0
2014,NUTS,2010,MT,0,192.0
2015,NUTS,2010,MT,0,174.0
2016,NUTS,2010,MT,0,211.0
2017,NUTS,2010,MT,0,245.0
2018,NUTS,2010,MT,0,231.0
2019,NUTS,2010,MT,0,254.0
2011,NUTS,2010,NL,0,14003.0
2012,NUTS,2010,NL,0,14566.0
2000,NUTS,2010,PL,0,8419.0
2015,NUTS,2010,PL,0,9554.0
2016,NUTS,2010,PL,0,14200.0
2017,NUTS,2010,PL,0,19011.0
2018,NUTS,2010,PL,0,22008.0
2019,NUTS,2010,PL,0,21711.0
2001,NUTS,2010,PT,0,1027.0
2002,NUTS,2010,PT,0,1403.0
2003,NUTS,2010,PT,0,1779.0
2004,NUTS,2010,PT,0,1753.0
2005,NUTS,2010,PT,0,1727.0
2006,NUTS,2010,PT,0,2622.0
2007,NUTS,2010,PT,0,3516.0
2008,NUTS,2010,PT,0,3977.0
2009,NUTS,2010,PT,0,3823.0
2010,NUTS,2010,PT,0,3768.0
2011,NUTS,2010,PT,0,4442.0
2012,NUTS,2010,PT,0,4525.0
2013,NUTS,2010,PT,0,4734.0
2014,NUTS,2010,PT,0,5233.0
2015,NUTS,2010,PT,0,5624.0
2016,NUTS,2010,PT,0,5651.0
2017,NUTS,2010,PT,0,6659.0
2018,NUTS,2010,PT,0,7111.0
2019,NUTS,2010,PT,0,8108.0
2020,NUTS,2010,PT,0,9403.0
2001,NUTS,2010,PT1,1,1024.0
2001,NUTS,2010,PT11,2,298.0
2001,NUTS,2010,PT15,2,5.0
2001,NUTS,2010,PT3,1,3.0
2001,NUTS,2010,PT30,2,3.0
1998,NUTS,2010,RO,0,17418.0
1999,NUTS,2010,RO,0,15069.0
2000,NUTS,2010,RO,0,10263.0
2001,NUTS,2010,RO,0,9111.0
2002,NUTS,2010,RO,0,8468.0
2003,NUTS,2010,RO,0,7531.0
2004,NUTS,2010,RO,0,7158.0
2005,NUTS,2010,RO,0,7235.0
2006,NUTS,2010,RO,0,6114.0
2007,NUTS,2010,RO,0,5330.0
2008,NUTS,2010,RO,0,4689.0
2009,NUTS,2010,RO,0,4171.0
2010,NUTS,2010,RO,0,3110.0
2011,NUTS,2010,RO,0,3998.0
2012,NUTS,2010,RO,0,4400.0
2013,NUTS,2010,RO,0,4138.0
2014,NUTS,2010,RO,0,3999.0
2015,NUTS,2010,RO,0,3558.0
2016,NUTS,2010,RO,0,3742.0
2017,NUTS,2010,RO,0,4054.0
2018,NUTS,2010,RO,0,3864.0
2019,NUTS,2010,RO,0,3809.0
2008,NUTS,2010,RS,0,562.0
2009,NUTS,2010,RS,0,926.0
2010,NUTS,2010,RS,0,398.0
2011,NUTS,2010,RS,0,155.0
2012,NUTS,2010,RS,0,267.0
2013,NUTS,2010,RS,0,365.0
2014,NUTS,2010,RS,0,1044.0
2015,NUTS,2010,RS,0,1066.0
2016,NUTS,2010,RS,0,1182.0
2017,NUTS,2010,RS,0,1071.0
2018,NUTS,2010,RS,0,1026.0
2019,NUTS,2010,RS,0,1070.0
2020,NUTS,2010,RS,0,1075.0
1997,NUTS,2010,SE,0,10560.0
1999,NUTS,2010,SE,0,10888.0
2001,NUTS,2010,SE,0,12326.0
2003,NUTS,2010,SE,0,12067.0
2005,NUTS,2010,SE,0,13833.0
2007,NUTS,2010,SE,0,13641.0
2009,NUTS,2010,SE,0,14191.0
2011,NUTS,2010,SE,0,13742.0
2013,NUTS,2010,SE,0,13713.0
2015,NUTS,2010,SE,0,14170.0
2017,NUTS,2010,SE,0,15973.0
2019,NUTS,2010,SE,0,16439.0
1994,NUTS,2010,SI,0,1396.0
1995,NUTS,2010,SI,0,1334.0
1996,NUTS,2010,SI,0,1279.0
1997,NUTS,2010,SI,0,1296.0
1998,NUTS,2010,SI,0,1368.0
1999,NUTS,2010,SI,0,1401.0
2000,NUTS,2010,SI,0,1465.0
2001,NUTS,2010,SI,0,1485.0
2002,NUTS,2010,SI,0,1519.0
2003,NUTS,2010,SI,0,1180.0
2004,NUTS,2010,SI,0,1249.0
2005,NUTS,2010,SI,0,1355.0
2006,NUTS,2010,SI,0,1479.0
2007,NUTS,2010,SI,0,1583.0
2008,NUTS,2010,SI,0,1721.0
2009,NUTS,2010,SI,0,1828.0
2010,NUTS,2010,SI,0,1924.0
2011,NUTS,2010,SI,0,2624.0
2012,NUTS,2010,SI,0,2516.0
2013,NUTS,2010,SI,0,2651.0
2014,NUTS,2010,SI,0,2634.0
2015,NUTS,2010,SI,0,2392.0
2016,NUTS,2010,SI,0,2495.0
2017,NUTS,2010,SI,0,2643.0
2018,NUTS,2010,SI,0,2919.0
2019,NUTS,2010,SI,0,3119.0
1994,NUTS,2010,SI0,1,1396.0
1995,NUTS,2010,SI0,1,1334.0
1996,NUTS,2010,SI0,1,1279.0
1997,NUTS,2010,SI0,1,1296.0
1998,NUTS,2010,SI0,1,1368.0
1999,NUTS,2010,SI0,1,1401.0
2000,NUTS,2010,SI0,1,1465.0
2001,NUTS,2010,SI0,1,1485.0
2002,NUTS,2010,SI0,1,1519.0
2003,NUTS,2010,SI0,1,1180.0
2004,NUTS,2010,SI0,1,1249.0
2005,NUTS,2010,SI0,1,1355.0
2006,NUTS,2010,SI0,1,1479.0
2007,NUTS,2010,SI0,1,1583.0
1998,NUTS,2010,SK,0,2599.0
1999,NUTS,2010,SK,0,2207.0
2000,NUTS,2010,SK,0,1902.0
2001,NUTS,2010,SK,0,1680.0
2002,NUTS,2010,SK,0,1559.0
2003,NUTS,2010,SK,0,1343.0
2004,NUTS,2010,SK,0,1277.0
2005,NUTS,2010,SK,0,1232.0
2006,NUTS,2010,SK,0,1059.0
2007,NUTS,2010,SK,0,830.0
2008,NUTS,2010,SK,0,784.0
2009,NUTS,2010,SK,0,729.0
2010,NUTS,2010,SK,0,818.0
2011,NUTS,2010,SK,0,786.0
2012,NUTS,2010,SK,0,829.0
2013,NUTS,2010,SK,0,793.0
2014,NUTS,2010,SK,0,881.0
2015,NUTS,2010,SK,0,889.0
2016,NUTS,2010,SK,0,859.0
2017,NUTS,2010,SK,0,1063.0
2018,NUTS,2010,SK,0,1203.0
2019,NUTS,2010,SK,0,1296.0
2020,NUTS,2010,SK,0,1473.0
2001,NUTS,2010,TR,0,1272.0
2002,NUTS,2010,TR,0,1352.0
2003,NUTS,2010,TR,0,1823.0
2004,NUTS,2010,TR,0,2118.0
2005,NUTS,2010,TR,0,3648.0
2006,NUTS,2010,TR,0,4043.0
2007,NUTS,2010,TR,0,5414.0
2008,NUTS,2010,TR,0,6169.0
2009,NUTS,2010,TR,0,6982.0
2010,NUTS,2010,TR,0,8276.0
2011,NUTS,2010,TR,0,9999.0
2012,NUTS,2010,TR,0,11670.0
2013,NUTS,2010,TR,0,13461.0
2014,NUTS,2010,TR,0,14347.0
2015,NUTS,2010,TR,0,16024.0
2016,NUTS,2010,TR,0,17625.0
2017,NUTS,2010,TR,0,22108.0
2018,NUTS,2010,TR,0,26674.0
2019,NUTS,2010,TR,0,29506.0
2020,NUTS,2010,TR,0,33911.0
